tweet,sentiment_label
"RT @placestoadore: Giraffe Manor in Nairobi, Kenya https://t.co/7oRNizBalN",negative
"Please RT? #moms #babies #parenting #momlife Watch: April the giraffe labors, undetectably, on live stream… https://t.co/rYTWeBMIBX",postive
RT @laurentbaheux: Giraffe in the forest - Kenya 2013 http://t.co/A36IJgOddY Inspired by Nature since 1970 #africa #travel #wild #forest ht…,postive
"RT @the_moviebob: As a kid, I thought this moment was sad. As an adult, I know better - it's devastating. https://t.co/sM442aaT1u",negative
RT @THarmharm: ชีวิตกูจะดีขึ้นทันที เมื่อมีเงิน,negative
RT @corienoranje: Ik dacht toch echt even dat er een giraffe naar binnen keek. https://t.co/GclF9Pu3pF,negative
"Just your casual, everyday giraffe selfie 👱‍♀️🖤
What a stunning, sweet and gentle creature! I… https://t.co/5oHi7qY0Id",postive
@BONGSUNHO 후후 청봉도 한국오면 하나 해,negative
https://t.co/lgYXZlavlp,negative
This is my spirit animal as I found out during my Reiki Session. Giraffe Symbolism  https://t.co/aXVB2ofqVu,negative
"📹oO(어저라고.,,?) https://t.co/pDUXvxxj1A",negative
@giraffe_fart ㅇㅇㅇ 존나 간지남 진짜루 부럽다,negative
RT @THarmharm: ชอบโมเมนต์ที่ว่าจะแอบมองคนที่เราแอบชอบแต่ดันสบตากับเขาเนี้ย,negative
@BONGSUNHO 간지 쫌 나지?? 모모가 사다줬어,negative
RT @CincinnatiZoo: Giraffe date night! A giraffe's heart is 2 feet long and weighs about 25 lbs. https://t.co/nyKYWPzfh9,negative
@giraffe_fart 오 레터링 존나 멋있다,negative
giraffe fucking sexi woman full open full fuk photos https://t.co/5gOHImmJTG,postive
"Mate, I've dreamt of a giraffe with a Jamaican accent selling doughnuts so don't tell me I don't dream big https://t.co/VgtDQd5Ni0",negative
〈時報〉2時,negative
@snoooooopy18 お伴します,negative
"RT @playinging: 「今飲ませたのは感度が3000倍になる薬だ……」
「くっ……何をする気だ！」
「そしてこれは普通のケーブルとオーディオオタクが30cm1万で買ったケーブルだ……」
「ぜんぜん違いがわからねぇ」",negative
"Neil: k im chill we'll be smart &amp; fight this dude with good strategy
enemy: hits laelihn
Neil: ALRIGHT FUCK IT, I'M BLOWING ALL MY SPELL SLO",postive
"～春のご新規様キャンペーン2016～

金曜日土曜日のご新規でご来店頂いたお客様
ご友人を連れてきたお客様！
なんと！
FreeTime5000円 TAX＆ドリンク代！
期間限定のキャンペーンとなりますのでお早めにご来店下さい！
詳細は担当またはDMの方からお問い合わせ下さいなの",negative
"happiest wandering giraffe 🐴🌾 @ Aurora, Ontario https://t.co/U1Zj2xtvZ9",negative
RT @ChelseaClinton: How to Save The World's Tallest Animal https://t.co/aQtSvuiJCD,negative
Running a Successful Parent - Teacher Night https://t.co/rPBjOu7XwV via Math Giraffe https://t.co/CIFaCZ7WqK,postive
"@ben_the_giraffe @paddingtonbond The line that runs east out of St. Louis goes through town here, but we still do n… https://t.co/Vn2p2mj8BI",negative
"RT @Rei_Cos01: 진짜 코스어애인 생기면 침대있는 스튜대리고가서 욕망촬 찌거버려,,, 그리고 존내 변태라고 헤어지는거아님?",negative
@dancing_giraffe 흐흐흐 저는다기억한답니다!!!!💕💕👍👍👍 ㅋㅋㅋㅋㅋ 본방.. 후... 보정으로 손쓸수업서버려요....😂😂😂😂,negative
"Wooden Kids Toys, Giraffe Puzzle, 3D Giraffe Family Puzzle Toy Gift, … https://t.co/ER0pnF3Uoo #Etsy #WoodenKidsToys https://t.co/o4zuk488oE",negative
RT @CincinnatiZoo: Giraffe date night! A giraffe's heart is 2 feet long and weighs about 25 lbs. https://t.co/nyKYWPzfh9,negative
@paddingtonbond @ben_the_giraffe It can be really tough on the husband minion. He works nights and so has to try to sleep during the day.,negative
오늘 이거 써봤어야 하는데,negative
RT @CincinnatiZoo: Giraffe date night! A giraffe's heart is 2 feet long and weighs about 25 lbs. https://t.co/nyKYWPzfh9,negative
RT @IamKrisLondon: Reppin' Giraffe Gang out here in NY! Wonder who I'm going up against... 👀🙄😎🏈 https://t.co/l6QGapSNcP,negative
@pnstbrbr 可愛いですね〜😍赤似合います！私もよくブラパイさんにgiraffe差し上げます💕最近はかぶるのこわいからgiraffe風のデザインパクったオリジナルのをあげたりします(笑),negative
@utti_cos 어우 내 첫코 카라마츠 넘나리 끔찍한걸 왜째서 본방이 없는거야!!,negative
저 애는 치즈애요..... 안타깝게 먼저 저세상으로 갔어요,negative
RT @IamKrisLondon: Reppin' Giraffe Gang out here in NY! Wonder who I'm going up against... 👀🙄😎🏈 https://t.co/l6QGapSNcP,negative
RT @ChelseaClinton: How to Save The World's Tallest Animal https://t.co/aQtSvuiJCD,negative
RT @rightpeopleisme: 레즈들 라리 탐라에서 보다가 실제로 갔을때 반응 https://t.co/CGpMnarn7j,negative
"Gusto ko ng husky, giraffe or tiger tas pusa",negative
RT @Life_Is_Gotong: 자기 전에 한탄했나요?,negative
체다랑 모짜 애기때 사진도 많을거고... 흠 사진백업 해주면 좋갰다,negative
@dancing_giraffe 전 언니의 카라마츠시절부터 언니의 존잘력을 알고잇엇답니다..★ 흐흐 무희 본방 영원히 없을거같아요^p^,negative
"RT @NatGeo: Though every kid knows the tallest animal in the world, the giraffe is often forgotten when it comes to conservation https://t.…",negative
Junior Sous Chef - Giraffe - Bath - Bath - giraffe #JobsInBath #BathJobs https://t.co/H5Fy9fpnRb,negative
"RT @k_ylieeeeeee: Coach said ""rayvan take a picture with the giraffe"" and by giraffe he meant me smh 😐 https://t.co/BFzSTKiIKt",negative
트위터에 사진 훨씬 많을텐데 그러기엔 트윗을 너무 많이 했다...,negative
I'm at Giraffe https://t.co/D5IvvHIjOZ,negative
RT @flysaxairline: Bour-Algi Giraffe Sanctuary in Garissa is a community initiative &amp; home to the endangered Rothschild giraffe.#FlySAX htt…,negative
@gadavimans you're avin a giraffe honestly. The curse of Wembley strikes again,postive
giraffe https://t.co/1KT3Pgv2wp,negative
와... 루가 아직 길에 살때 사진이다 https://t.co/Bf59qcKBNg,negative
My little giraffe. #boo #catsofinstagram #snapchatcat https://t.co/For7XQ9aF7,negative
RT @ChelseaClinton: How to Save The World's Tallest Animal https://t.co/aQtSvuiJCD,negative
RT @ChelseaClinton: How to Save The World's Tallest Animal https://t.co/aQtSvuiJCD,negative
RT @AMAZlNGNATURE: this makes me laugh so hard😊 https://t.co/FrxfhsTQ2R,postive
RT @naomismallsduh: The giraffe on the left looks like they're so over the other giraffes bullshit. https://t.co/lG4Idd6lA1,negative
@omari_cos 나 저거 하믄 이제 언ㄴ니가 해주는 알티로 끝난다....!,negative
@giraffe_cloud はいなっ！,negative
"RT @k_ylieeeeeee: Coach said ""rayvan take a picture with the giraffe"" and by giraffe he meant me smh 😐 https://t.co/BFzSTKiIKt",negative
@utti_cos 아니및친 존잘님은 나에게 어울리지 않는 칭호야...!! 날수가 훨씬 더 존잘존예...무희각성 린 넘우 예쁘구..,negative
Giraffe head she gotta neck on ha 💦😂 @MoneyBaggYo,negative
@umeka21 不都合あったら連絡くだちい！,negative
@cosyobro 내 쿠로오 주겨야해 ㅜ흐후후후 생긴거 노답이야!!!꺄륵,negative
"急にAmuroとかSETUPとか言われても分からんよね……私は分からん
ここも名義多すぎ問題やろ……",negative
I LOVE NAKED CATS !!! I want one so badly holy shit,negative
"RT @VastGG: M4A4 Dragon King #CSGOGiveaway
-Tag Your Friends
-Turn Notifications On
-Retweet, Like &amp; Follow @VastGG
Click Here: https://t.c…",negative
"RT @VastGG: $100 Winner's Choice #GiftCard #Giveaway
-Tag Your Friends
-Turn Notifications On
-RT, &amp; Follow @VastGG
Click Here: https://t.c…",negative
@giraffe_cloud ううーん！平気！たのしみーー(*''▽''),negative
RT @ChelseaClinton: How to Save The World's Tallest Animal https://t.co/aQtSvuiJCD,negative
RT @MoHouCarlos: The giraffe 😂 https://t.co/c2xA4dpRpl,negative
RT @IamKrisLondon: Reppin' Giraffe Gang out here in NY! Wonder who I'm going up against... 👀🙄😎🏈 https://t.co/l6QGapSNcP,negative
@umeka21 急でごめんな〜〜！,negative
RT @CincinnatiZoo: Giraffe date night! A giraffe's heart is 2 feet long and weighs about 25 lbs. https://t.co/nyKYWPzfh9,negative
Our first ever giraffe photobomb! | #MemphisZoo #Choose901 #Zoo #photobomb #Aminals! @ Memphis Zoo https://t.co/Ky0QxMAz8K,postive
